"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U4";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
2;"JP6,JP5,JP4,JP3,JP2,JP1";"SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm";6;"Jumper_NO_Small";;;
3;"C2,C1,C17";"C_0805_2012Metric";3;"100nF";;;
4;"J1";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Female";;;
5;"U1";"RPi_Pico_SMD_TH";1;"Pico";;;
6;"J2";"PinHeader_2x08_P2.54mm_Horizontal_psionSide";1;"Conn_02x08_Odd_Even";;;
7;"XS1";"Conn_uSDcard";1;"502p_SD_ebay-uSD-push_push_SMD";;;
8;"U6";"SOT-23-6";1;"Regulator_Switching_MT3608";;;
9;"U3,U2";"SOP-20_7.5x12.8mm_P1.27mm";2;"74LS245";;;
10;"TR1";"SOT-23";1;"Si2302CDS-n-channel";;;
11;"SW3,SW2,SW1";"SW_Push_1P1T_NO_Vertical_Wuerth_434133025816";3;"sw";;;
12;"R28";"R_0805_2012Metric";1;"???????????";;;
13;"R18";"R_0805_2012Metric";1;"????";;;
14;"R17";"R_0805_2012Metric";1;"100k";;;
15;"R10,R9,R8";"R_0805_2012Metric";3;"R_Small";;;
16;"R7,R6,R5,R4,R3";"R_0805_2012Metric";5;"10k";;;
17;"R2,R1";"C_0402_1005Metric";2;"4k7";;;
18;"M1";"SOT-23";1;"P-CHANNEL-MOSFET";;;
19;"L1";"L_Coilcraft_LPS5030";1;"22uH";;;
20;"JP12";"SolderJumper-2_P1.3mm_Open_Pad0.8x0.8mm";1;"SolderJumper_2_Open";;;
21;"JP11";"SolderJumper-2_P1.3mm_Open_Pad0.8x0.8mm";1;"Jumper_NO_Small";;;
22;"J3";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03_Female";;;
23;"D4";"D_SOD-123";1;"SS36";;;
24;"C16";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";1;"10uF";;;
25;"C15,C14";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";2;"22uF";;;
